date	news_org	title	maintext	sentiment
20240430	세계일보	[사설] 이재명 “의대 증원 적극 협력”, 의사들 더 이상 버틸 명분 없어	이재명 더불어민주당 대표가 의대 증원에 협력하겠다는 입장을 밝힘에 따라 의 정 갈등이 새 국면에 접어들었다. 이 대표는 그제 윤석열 대통령과의 영수회담에서 “의대 정원 확대 같은 의료개혁은 반드시 해야 할 중요한 국가적 과제이기 때문에 민주당도 적극 협력하겠다”고 밝혔다. 거대 야당 대표로서 가장 시급한 민생 현안에 책임 있는 모습을 보여준 건 평가받을..	1
20240430	한겨레	[사설] ‘김건희 의혹’ 다루기만 하면 중징계, 보도 성역인가	4 10 총선 관련 보도의 공정성 여부를 심의하는 선거방송심의위원회(선방위)가 지난 29일 김건희 여사의 명품 가방 수수와 도이치모터스 주가조작 의혹을 다룬 문화방송(MBC) 시사프로그램 ‘스트레이트’에 최고 수위의 법정제재인 ‘관계자 징계’를 의결했다. 방송통신심의위원회(방심위)와 선방위가 김 여사의 주가조작 의혹을 언급했다는 이유로 방송사들에 법정제..	0
20240430	경향신문	[사설]5월 국회 초점 된 채 상병 특검법, 더 미룰 이유 없다	여야가 21대 국회 마지막 회기인 5월 임시국회 의사 일정에 합의하지 못하고 있다. 그 중심에 해병대 채 상병 특검법이 있다. 더불어민주당은 21대 국회에서 채 상병 특검법을 처리하겠다는 입장이지만, 국민의힘은 합의된 민생법안만 처리하자며 본회의 개최를 막고 있다. 채 상병 특검법은 수사 외압 사건의 진실을 밝히라는 총선 민심의 명령이다. 정치적 유불리..	0
20240430	한겨레	[사설] SM-3 요격미사일 도입 당장 멈춰야 한다	정부가 최근 북한의 핵 미사일 위협으로부터 한국을 방어하는 데 쓰기엔 적합하지 않은 요격미사일 SM-3을 차세대 이지스함에 탑재하기로 결정했다. 북 중이 미군기지가 있는 괌이나 오키나와를 타격하려 미사일을 쏠 경우 한국이 ‘집단적 자위권’을 행사해 이를 요격할 능력을 갖추겠다고 선언한 것이나 다름없다. 윤석열 정부는 한국 안보정책의 ‘대전환’을 의미하는..	1
20240430	한겨레	[사설] ‘민정수석실 부활’, 특검 대응 사정기관 통제용 아닌가	윤석열 대통령이 지난 29일 이재명 더불어민주당 대표와 한 회담에서 “국정을 운영하다 보니까 민심 정보가 조금 부족한 부분이 있는 것 같다”며 “김대중 정부에서도 민정수석실을 없앴다가 다시 만들었는데 왜 그랬는지 이해가 간다”고 했다. 사실상 민정수석실을 부활하겠다는 뜻을 밝힌 것이다. 윤 대통령은 애초 사정기관을 통제하지 않는 대통령이 되겠다며 민정수..	0
20240430	경향신문	[사설] ‘입틀막 기조’ 변함없을 것 예고한 윤 대통령 바뀌어야	윤석열 대통령이 지난 29일 영수회담에서 방송심의에 대한 이재명 더불어민주당 대표의 문제제기에 ‘정부에서 독립된 기관이 하는 일 아니냐’ ‘관여한 바 없다’고 말했다고 한다. 또 검찰의 기자 압수수색이 일상화됐다는 비판엔 ‘보고받지 않았다’며 ‘다만 (보도가) 허위 조작일 경우 국가 업무방해 행위로 이어지기 때문에 그런 부분으로 수사가 된 것 아니냐’라..	0
20240430	문화일보	李 “의대 증원 적극 협력” 의사단체도 이젠 몽니 접어야[사설]	이재명 더불어민주당 대표가 의료개혁, 특히 의대 증원 문제에 대해 예상보다 적극적 입장을 밝힘으로써 전공의 사태는 2라운드로 접어들게 됐다. 이 대표는 29일 윤석열 대통령과의 회담에서 언론이 지켜보는 가운데 “의대 정원 확대 같은 의료개혁은 반드시 해야 할 중요한 국가적 과제이기 때문에 민주당도 적극 협력하겠다”고 했다. 국민이 압도적으로 지지하는 현..	1
20240430	한국일보	[사설] 서로 할 말만 한 尹-李... 협치 불씨는 살려라	윤석열 대통령과 이재명 더불어민주당 대표가 어제 용산 대통령실에서 2시간 10분간 차담회를 갖고 국정 현안을 두루 논의했다. 윤 대통령이 취임 2년 만에 처음으로 제1 야당 대표와 국정을 논의하면서 협치, 소통의 첫발을 뗐다는 사실은 환영할 일이지만, 구체적 합의사항이 없다는 점은 매우 아쉽다. 다만 양측이 소통을 지속하기로 한 만큼 정치 복원과 민생 ..	1
20240430	동아일보	[사설]720일 만의 尹-李 차담회, 어렵게 말문 텄지만 갈 길 멀어	윤석열 대통령과 더불어민주당 이재명 대표가 어제 용산 대통령실 2층 집무실에서 첫 회담을 가졌다. 윤 정부 출범 후 720일 만의 만남이었다. 차담회 형식으로 이뤄진 이번 회담은 2시간 10분 넘게 진행됐지만 정리된 발표문은 없었다. 대통령실과 민주당에 따르면 의견 일치는 의대 증원은 불가피하다는 점과 앞으로 ‘양자 또는 국민의힘 지도부를 포함한 3자’..	0
20240430	중앙일보	[사설] “종종 만나자” 첫발 뗀 영수회담, 신뢰 확보가 중요하다	"━
 생계지원비 등 이견 있었지만, 의료개혁 등 협력 약속 
 
 ━
 소통 필요 인정만으로도 성과 상대 비방부터 자제를 
 윤석열 대통령과 이재명 더불어민주당 대표가 어제 처음으로 양자회담을 했다. 현 정부 출범 이후 두 사람이 대화 테이블에 마주 앉기까지는 1년11개월, 720일이 걸렸다. 4 10 총선은 정부에 대한 심판이기도 했지만, 여야가 대화.."	1
